"Spotify.Streams","Spotify.Playlist.Count","YouTube.Views","YouTube.Likes","TikTok.Posts","TikTok.Views","Apple.Music.Playlist.Count","Shazam.Counts","AirPlay.Spins","Explicit.Track"
572697124,76099,630335590,4117309,198900,125501807,148,2065994,18653,0
349688559,77636,66011548,699236,538219,643169528,26,771928,854,1
509445605,105947,21324881,168696,2521,16050371,124,3151561,105328,0
1320495311,280937,446997037,4911417,1028504,1355578291,191,4854882,1353,1
780755736,107320,89683527,493296,30301,49294071,97,1804089,39183,1
642558596,106151,357508658,2089382,1884605,2853555921,77,2242149,45631,0
459923962,28314,603350721,14962059,358089,535835122,23,1357648,1,0
317302250,59316,113727264,1143446,169932,286048019,63,2007712,7340,1
84655991,13107,75076449,510479,1513241,382487197,36,2361169,11861,0
476546062,81971,411585032,2754105,112983,81330455,130,2262525,323,1
599215039,57051,834762162,5130805,2265527,779241131,111,1362793,26349,0
757001327,53221,1178040262,4145589,38054,41170418,54,1295202,9445,1
578464780,64098,99386903,1089785,3170207,3957426996,32,2697578,6663,0
34026239,8723,56469190,290499,1047639,391501573,23,527365,3290,0
222373201,24491,31161634,637860,58124,568978171,50,556768,31410,0
304116211,21517,692863553,2439195,186881,184413760,32,701730,5957,0
630875899,83848,245967184,2535205,81557,45789592,68,2215820,4056,0
238841927,21346,116840454,948904,20779,75170850,25,705603,10016,0
1656974409,266408,597309937,3662324,61112,191397624,104,3110,9175,0
811810737,117049,874107993,4127669,914703,1748578220,108,1744699,43750,0
304588030,27312,536055555,5342216,16993,48485307,41,661261,6750,0
138100044,64635,168383616,1456308,30274,94781829,59,1470349,134739,1
71722674,15522,25459927,162133,17628,18182823,43,952963,55349,0
144985656,15143,1662729195,8178016,3112998,462897728,18,717736,2585,0
1749353402,182732,244698483,2156754,191718,379547638,148,12744176,153400,1
257646451,58760,394204600,5104881,308772,854952373,13,1407757,40,1
71345247,8334,92840225,813836,8797888,274234939,2,926395,264,0
1003487432,126402,621874255,2859234,2409247,6208638113,152,3205234,175614,1
31612906,3887,6277949,171470,535464,1051026401,38,336779,1638,0
382177076,65369,78537068,806081,146179,629205287,46,1864419,105931,0
1335494972,205003,165545575,1446742,1792131,284269402,376,11339270,94699,0
97902676,29131,201368546,3657987,292,334079,7,401243,2981,0
101717995,43236,28422099,327967,63,15743,18,1196752,3843,1
392308500,47157,559183696,3199782,149092,93606502,21,1212362,789,0
214237645,10871,11033725,251373,251200,443104700,247,285858,3400,0
684853927,42893,547937715,1638787,1100030,1162186778,45,1654594,14160,1
152999496,61870,41680427,625297,29807,165647395,5,162198,67,1
198942707,22915,61690062,458819,16235,30889183,43,993457,125527,0
287853890,21244,267142398,1552179,98312,550080768,31,546765,1280,0
1280838046,174312,807688972,6060762,8981813,439764052,106,10221814,3613,1
1746790923,204049,3084719501,13411706,2176881,137718139,356,13444054,119588,0
43921455,1924,329678889,1854891,1304,6144992,8,9589,26,0
623201391,89059,221457313,1349006,10462,10583591,57,2434197,14634,1
402970867,78206,101938749,1029804,252850,249602373,51,745513,10,1
383945607,58627,51670623,427016,20633,159467861,83,1125402,109284,0
227079649,35385,199523728,1291904,298000,299633568,18,252351,26,0
729825680,155380,286183927,2353107,33462,63035109,90,2792929,65842,1
285568439,67189,161956855,3891055,312854,1818254854,13,2220692,781,0
1222228366,109325,569150755,10176233,210846,519924812,174,3669533,220765,0
840781611,93600,32641573,335427,1010070,160655710,66,3966093,1910,0
239288183,42084,56033826,823483,274300,206096023,34,1704066,38434,1
542751537,67763,195610806,1623280,228878,803525888,28,1359456,18652,0
250828412,40989,47811498,451406,107173,158825909,47,1557518,52253,1
1293191157,147868,606547382,4505365,5601,19401692,209,10975728,54267,0
225260644,51066,75234764,918947,35536,55987733,11,357955,3,1
366872354,61014,146768761,1402279,2232600,1794129686,14,768036,8167,0
253490559,78414,157050046,2249067,4715901,4610799658,16,2770196,8106,1
111124873,35929,103077029,789321,266204,291086000,64,2072597,9139,1
